week_ending,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,pct_answered_60s,pct_abandoned,meets_60s_target
2025-11-30,424764,388940,258634,410402,364830,66.5,51.3,0
2025-12-07,446249,402629,265323,429071,376947,65.9,51.6,0
2025-12-14,435028,395443,283525,417051,373203,71.7,51.3,0
2025-12-21,416509,390692,321264,403997,367370,82.2,50.8,0
2025-12-28,449275,414562,329589,437000,390291,79.5,51.3,0
2026-01-04,422820,398439,330901,411436,376186,83.0,50.8,0
2026-01-11,396679,369676,290911,384825,347656,78.7,51.0,0
2026-01-18,392154,362832,294799,376249,341980,81.2,50.9,0
2026-01-25,385477,360286,299384,371559,340722,83.1,50.8,0
2026-02-01,381479,357082,293566,369433,337413,82.2,50.9,0
2026-02-08,390458,364297,290169,378411,342133,79.7,51.0,0
2026-02-15,384338,355966,278466,372300,336151,78.2,51.1,0
2026-02-22,370898,346109,273222,360096,327476,78.9,51.0,0
2026-03-01,371868,349748,295048,360498,329134,84.4,50.8,0
2026-03-08,357444,337399,287452,346864,317675,85.2,50.7,0
2026-03-15,359264,339884,292694,348901,319378,86.1,50.7,0
2026-03-22,411034,370633,244860,397891,350830,66.1,51.8,0
2026-03-29,391672,360276,270701,377873,342746,75.1,51.2,0
2026-04-05,0,0,0,0,0,,,0
